"Município","Atrazina","Diuron","Glifosato + AMPA","Mancozebe","Profenofós","Metolacloro","Simazina","Alaclor","Aldicarbe + Aldicarbesulfona + Aldicarbesulfóxido","Carbendazim + benomil","Carbofurano","Clordano","Clorpirifós + clorpirifós-oxon","DDT + DDD + DDE","Endossulfan (a, ß e sais)","Lindano (gama HCH)","Metamidofós","Molinato","Parationa Metílica","Pendimentalina","Permetrina","Terbufós","Trifluralina","2,4 D + 2,4,5 T","Aldrin + Dieldrin","Endrin","Tebuconazol","Population","UF","How many different pesticides over or equal to the limit?"
"PRATANIA",0,3,7,3,6,0,0,0,6,3,5,0,6,2,0,1,0,2,2,0,0,6,0,6,0,0,6,5126,"SP",15
"PRESIDENTE JANIO QUADROS",3,1,4,0,0,3,3,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,4,3,4,4,0,13334,"BA",15
"PRESIDENTE TANCREDO NEVES",2,1,4,0,0,2,2,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,2,3,3,0,28082,"BA",15
"QUEIMADAS",2,1,2,0,0,2,2,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,2,3,3,0,44214,"PB",15
"QUIJINGUE",2,1,4,0,0,2,2,4,0,0,0,4,0,4,4,4,0,4,0,0,0,0,3,3,4,4,0,28632,"BA",15
"RAFAEL JAMBEIRO",7,3,7,0,0,7,7,7,0,0,0,7,0,7,7,7,0,5,0,0,0,0,6,7,7,7,0,23562,"BA",15
"RIACHAO DAS NEVES",4,1,4,0,0,4,4,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,4,3,3,0,23313,"BA",15
"RIACHAO DO JACUIPE",7,2,10,0,0,8,8,10,0,0,0,10,0,10,10,10,0,8,0,0,0,0,10,8,10,10,0,34784,"BA",15
"RIBEIRA DO AMPARO",2,1,4,0,0,2,2,4,0,0,0,4,0,4,4,4,0,4,0,0,0,0,3,2,4,4,0,15443,"BA",15
"RIBEIRA DO POMBAL",6,2,8,0,0,6,6,8,0,0,0,6,0,6,6,6,0,6,0,0,0,0,8,6,5,6,0,54965,"BA",15
"RIBEIRAO GRANDE",0,11,14,11,16,1,0,2,17,11,17,0,16,0,0,0,0,6,6,0,0,16,0,17,0,0,14,7697,"SP",15
"RIO BRANCO DO SUL",0,2,2,0,2,2,0,0,0,2,2,0,2,0,0,0,2,2,2,2,2,2,0,2,0,0,2,32504,"PR",15
"RIO DE CONTAS",4,1,4,0,0,4,4,4,0,0,0,4,0,3,4,4,0,4,0,0,0,0,4,4,4,4,0,13712,"BA",15
"RIO DO ANTONIO",1,1,4,0,0,1,1,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,1,2,2,2,0,15804,"BA",15
"RIO REAL",5,2,6,0,0,5,5,6,0,0,0,6,0,6,6,6,0,4,0,0,0,0,6,5,6,6,0,41767,"BA",15
"RUY BARBOSA",2,1,4,0,0,2,2,3,0,0,0,3,0,3,3,3,0,3,0,0,0,0,3,3,3,3,0,3669,"RN",15
"SALINAS DA MARGARIDA",1,1,3,0,0,1,1,4,0,0,0,3,0,3,3,3,0,4,0,0,0,0,3,2,3,3,0,15772,"BA",15
"SANTA CRUZ CABRALIA",3,1,4,0,0,3,3,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,3,3,3,0,28552,"BA",15
"SANTA LUZIA",4,1,4,0,0,4,4,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,4,3,3,0,71576,"MA",15
"SANTA ROSA DO SUL",0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,8356,"SC",15
"SANTA TERESINHA",4,2,4,0,0,4,4,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,4,4,4,4,0,4573,"PB",15
"SANTANA",4,1,4,0,0,4,4,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,3,3,3,0,115471,"AP",15
"SANTO ANTONIO DE JESUS",4,1,4,0,0,4,4,4,0,0,0,4,0,4,4,4,0,4,0,0,0,0,4,4,4,4,0,103342,"BA",15
"SANTO ESTEVAO",2,2,3,0,0,2,2,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,2,3,3,0,53898,"BA",15
"SAO DESIDERIO",3,2,6,0,0,3,3,5,0,0,0,5,0,5,5,5,0,5,0,0,0,0,5,5,5,5,0,33661,"BA",15
"SAO DOMINGOS",6,2,7,0,0,2,2,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,4,2,4,4,0,3120,"PB",15
"SAO FELIPE",4,1,4,0,0,4,4,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,4,3,3,0,21964,"BA",15
"SAO JOAQUIM DA BARRA",0,3,3,3,2,1,0,0,3,3,3,0,2,1,0,0,2,0,2,0,0,2,0,3,0,0,2,50921,"SP",15
"SAO JOSE DA VITORIA",4,1,4,0,0,4,4,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,4,3,3,0,6045,"BA",15
"SAO MIGUEL ARCANJO",0,8,16,8,16,0,0,0,13,8,13,0,16,0,0,0,0,11,10,0,1,16,1,12,0,0,16,32910,"SP",15
"SEABRA",4,2,5,0,0,4,4,5,0,0,0,5,0,5,5,5,0,3,0,0,0,0,5,4,5,4,0,45568,"BA",15
"SITIO DO QUINTO",3,1,4,0,0,3,3,4,0,0,0,3,0,3,3,3,0,3,0,0,0,0,4,3,3,3,0,11283,"BA",15
"TANHACU",3,1,4,0,0,3,3,3,0,0,0,3,0,3,3,3,0,3,0,0,0,0,2,4,3,3,0,21315,"BA",15
"TAPIRAMUTA",2,1,3,0,0,2,2,2,0,0,0,2,0,2,2,2,0,1,0,0,0,0,2,2,2,2,0,17845,"BA",15
"TEIXEIRA DE FREITAS",8,4,16,0,0,8,8,15,0,0,0,12,0,12,12,12,0,12,0,0,0,0,16,8,12,12,0,161690,"BA",15
"TERRA NOVA",3,1,4,0,0,3,3,4,0,0,0,4,0,4,4,4,0,2,0,0,0,0,4,2,4,4,0,10437,"PE",15
"TIETE",2,2,2,2,2,0,2,2,0,2,2,0,2,0,2,0,2,0,0,0,2,2,0,0,0,0,1,41022,"SP",15
"TUCANO",4,2,8,0,0,4,4,8,0,0,0,8,0,8,8,8,0,8,0,0,0,0,6,4,8,8,0,52540,"BA",15
"UBAIRA",4,1,3,0,0,3,3,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,3,3,3,0,20800,"BA",15
"UBAITABA",3,1,3,0,0,3,3,4,0,0,0,4,0,3,4,4,0,3,0,0,0,0,4,3,4,4,0,20489,"BA",15
"UMBURANAS",1,1,2,0,0,1,1,3,0,0,0,3,0,3,3,3,0,3,0,0,0,0,2,2,3,3,0,19522,"BA",15
"UNA",7,1,8,0,0,7,7,5,0,0,0,5,0,5,5,5,0,5,0,0,0,0,5,8,5,5,0,21331,"BA",15
"UTINGA",2,1,4,0,0,2,2,3,0,0,0,3,0,3,3,3,0,3,0,0,0,0,3,3,3,3,0,19780,"BA",15
"VARZEA PAULISTA",1,3,2,2,2,0,2,2,0,2,2,0,2,0,3,0,1,0,0,0,2,2,0,1,0,0,0,118917,"SP",15
"VEREDA",4,2,8,0,0,4,4,8,0,0,0,7,0,7,7,7,0,6,0,0,0,0,6,3,7,7,0,6620,"BA",15
"VITORIA DA CONQUISTA",4,1,4,0,0,4,4,4,0,0,0,4,0,4,4,4,0,4,0,0,0,0,4,4,4,4,0,348718,"BA",15
"AGUAS DE SAO PEDRO",0,5,6,5,8,3,0,0,9,5,8,0,8,0,0,0,0,4,6,0,0,8,0,7,0,0,8,3268,"SP",14
"AGUDOS",0,12,12,12,15,0,0,0,17,12,17,0,15,0,0,0,3,8,10,0,0,15,0,14,0,0,15,36880,"SP",14
"AMERICO DE CAMPOS",0,25,30,30,15,0,0,0,25,25,5,0,5,0,0,0,10,0,5,1,0,15,0,20,0,0,25,5967,"SP",14
"ANICUNS",17,0,19,0,0,15,15,15,0,0,0,0,0,15,15,15,0,2,15,15,15,0,15,0,0,15,0,21746,"GO",14
"AREALVA",0,14,19,14,24,0,0,0,25,14,25,0,24,0,0,0,1,5,10,0,0,10,0,12,0,0,24,8452,"SP",14
"AURELINO LEAL",2,0,4,0,0,2,2,4,0,0,0,4,0,4,4,4,0,4,0,0,0,0,4,2,4,4,0,12706,"BA",14
"AVARE",0,9,15,9,18,0,1,0,18,9,17,0,17,0,0,0,0,8,8,0,0,18,0,16,0,0,15,89479,"SP",14
"BANANAL",0,2,1,2,2,0,0,0,4,2,4,0,4,0,2,0,0,2,2,0,0,2,0,6,0,0,2,10867,"SP",14
"BELMONTE",2,0,4,0,0,2,2,4,0,0,0,2,0,2,2,2,0,4,0,0,0,0,4,2,2,2,0,24013,"BA",14
"BENTO DE ABREU",0,3,3,3,6,0,0,0,4,2,4,0,5,0,0,0,1,3,3,0,0,6,0,4,0,0,6,2925,"SP",14
"BOA NOVA",2,0,4,0,0,2,2,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,2,3,3,0,14069,"BA",14
"BOITUVA",1,3,7,3,6,0,0,0,6,3,6,0,6,0,0,0,0,2,2,0,0,6,0,7,0,0,6,57910,"SP",14
"BROTAS DE MACAUBAS",3,0,4,0,0,3,3,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,4,3,3,4,0,10974,"BA",14
"BURI",0,7,10,7,14,0,0,1,10,7,10,0,14,0,0,0,0,8,8,0,0,14,0,13,0,0,14,19737,"SP",14
"CAETANOS",2,0,4,0,0,2,2,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,2,3,3,0,16106,"BA",14
"CANDIDO SALES",2,0,4,0,0,2,2,3,0,0,0,3,0,3,3,3,0,2,0,0,0,0,3,2,2,3,0,26674,"BA",14
"CAPAO BONITO",0,16,24,16,23,0,0,0,19,15,19,0,23,0,0,0,0,6,6,0,1,23,0,22,0,0,23,47463,"SP",14
"CAPIM GROSSO",4,0,8,0,0,4,4,6,0,0,0,6,0,6,6,6,0,4,0,0,0,0,6,4,6,6,0,31392,"BA",14
"CARMO DO CAJURU",18,0,17,0,0,18,18,18,0,0,0,0,0,8,7,0,0,11,2,8,11,0,9,4,0,2,0,22136,"MG",14
"CASTELANDIA",3,0,3,0,0,3,3,3,0,0,0,0,0,3,3,3,0,1,3,3,3,0,3,0,0,3,0,3610,"GO",14
"CHOPINZINHO",0,1,2,0,1,2,0,2,0,1,1,0,0,0,0,0,1,2,1,0,2,1,0,2,0,0,1,19911,"PR",14
"CONCEICAO DA FEIRA",1,0,2,0,0,1,1,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,1,2,2,0,23024,"BA",14
"CONCHAS",0,2,3,2,4,0,0,0,4,2,4,0,4,0,0,0,1,2,2,0,0,4,0,3,0,0,4,17638,"SP",14
"CRISOPOLIS",2,0,4,0,0,2,2,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,2,2,2,0,21835,"BA",14
"DIRCE REIS",0,3,5,3,6,0,0,1,4,3,4,0,6,0,0,0,0,2,2,0,0,6,0,5,0,0,6,1785,"SP",14
"DOLCINOPOLIS",0,2,5,2,5,0,0,0,5,2,5,0,6,1,0,0,0,3,3,0,0,6,0,5,0,0,6,2136,"SP",14
"ENCRUZILHADA",2,0,3,0,0,2,2,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,2,2,2,0,19376,"BA",14
"FAXINAL",0,2,2,0,2,3,0,2,0,2,2,0,0,0,0,0,2,2,2,0,2,2,0,2,0,0,2,17306,"PR",14
"FEIRA DE SANTANA",1,2,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,627477,"BA",14
"GUARANI D'OESTE",0,5,5,5,6,0,0,0,5,5,5,0,6,0,0,0,1,2,2,0,0,6,0,6,0,0,6,2017,"SP",14
"IBAITI",0,2,2,0,2,2,0,2,0,2,2,0,0,0,0,0,2,2,2,0,2,2,0,2,0,0,2,31095,"PR",14
"IBIPEBA",1,0,2,0,0,1,1,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,1,2,2,0,18678,"BA",14
"IBIRAPITANGA",1,0,2,0,0,1,1,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,1,2,2,0,24293,"BA",14
"INHAMBUPE",6,0,12,0,0,6,6,6,0,0,0,6,0,6,6,6,0,6,0,0,0,0,6,6,6,6,0,40453,"BA",14
"ITAGIMIRIM",1,0,2,0,0,1,1,2,0,0,0,1,0,1,1,1,0,2,0,0,0,0,2,1,1,1,0,7291,"BA",14
"ITAIPULANDIA",0,1,2,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,10587,"PR",14
"ITAJU DO COLONIA",3,0,5,0,0,3,3,6,0,0,0,6,0,6,6,6,0,6,0,0,0,0,5,4,6,5,0,7218,"BA",14
"ITAPICURU",4,0,8,0,0,4,4,4,0,0,0,4,0,4,4,4,0,4,0,0,0,0,4,4,4,4,0,36211,"BA",14
"ITIUBA",1,0,2,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,37567,"BA",14
"ITUBERA",1,0,2,0,0,1,1,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,1,2,2,0,29428,"BA",14
"JABORANDI",0,3,6,3,6,0,0,0,5,3,5,0,6,0,0,0,1,4,4,0,0,6,0,5,0,0,6,9056,"BA",14
"JAMBEIRO",0,12,20,12,26,0,0,0,25,12,25,0,26,1,0,0,0,11,12,0,0,26,0,26,0,0,26,6305,"SP",14
"JARINU",2,2,2,2,2,0,2,2,0,2,2,0,2,0,2,0,0,0,0,1,2,2,0,0,0,0,0,28540,"SP",14
"LIVRAMENTO DE NOSSA SENHORA",5,0,5,0,0,5,4,5,0,0,0,5,0,5,5,5,0,5,0,0,0,0,5,5,5,5,0,46739,"BA",14
"LOUVEIRA",0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,45922,"SP",14
"MAIQUINIQUE",3,0,3,0,0,3,3,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,3,2,1,0,10274,"BA",14
"MARAU",1,0,2,0,0,1,1,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,1,2,2,0,21313,"BA",14
"MESOPOLIS",0,2,4,2,5,0,0,0,4,2,4,0,5,1,0,0,0,2,2,0,0,5,0,5,0,0,5,1926,"SP",14
"MIRANTE",2,0,4,0,0,2,2,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,2,1,2,0,9578,"BA",14
"MONTE ALTO",1,4,3,4,2,0,0,0,3,4,0,0,1,0,0,0,2,1,1,0,0,1,0,1,0,0,3,49979,"SP",14
"MONTE MOR",0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,57240,"SP",14
"MONTEIRO LOBATO",0,8,8,8,16,0,0,0,16,6,16,0,16,1,0,0,0,11,11,0,0,16,0,29,0,0,16,4549,"SP",14
"NILO PECANHA",1,0,2,0,0,1,1,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,1,2,2,0,14368,"BA",14
"NOVA AMERICA",3,0,3,0,0,2,2,2,0,0,0,0,0,2,2,2,0,2,2,2,2,0,2,0,0,2,0,2373,"GO",14
"OLINDINA",3,0,7,0,0,3,3,3,0,0,0,3,0,3,3,3,0,3,0,0,0,0,3,3,3,3,0,29227,"BA",14
"PALMEIRA D'OESTE",0,6,11,7,12,0,0,0,10,7,10,0,12,0,0,1,0,4,4,0,0,12,0,12,0,0,12,9496,"SP",14
"PARANAGUA",0,10,10,10,10,0,0,0,10,10,11,0,10,0,0,0,10,0,10,0,0,10,0,14,1,0,10,152975,"PR",14
"PIRAI DO NORTE",1,0,2,0,0,1,1,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,1,2,2,0,10411,"BA",14
"PIRAJU",0,4,6,3,6,0,0,0,7,4,7,0,6,0,0,0,2,4,4,0,0,6,0,5,0,0,6,29790,"SP",14
"PIRAPORA DO BOM JESUS",0,3,2,2,2,0,0,0,3,3,3,0,3,0,1,0,0,2,2,0,0,2,0,3,0,0,2,18174,"SP",14
"PIRIPA",2,0,4,0,0,2,2,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,2,2,2,0,11849,"BA",14
"PIRITIBA",2,0,2,0,0,2,2,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,2,1,1,0,25211,"BA",14
"POCOES",2,0,4,0,0,2,2,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,2,2,2,0,48861,"BA",14
"RIBEIRAO BRANCO",1,11,10,11,10,0,0,0,14,11,13,0,10,0,0,0,0,4,4,0,0,10,0,9,0,0,10,17220,"SP",14
"RIO DO PIRES",1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,12130,"BA",14
"RIOLANDIA",1,4,8,4,8,0,0,0,8,4,8,0,8,0,0,0,0,2,2,0,0,8,0,8,0,0,8,12086,"SP",14
"RUBIACEA",0,4,13,4,10,0,0,0,9,4,9,1,10,0,0,0,0,6,6,0,0,10,0,8,0,0,10,3046,"SP",14
"SANTA BRIGIDA",1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,14976,"BA",14
"SAO JOSE DO JACUIPE",1,0,2,0,0,1,1,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,1,2,2,0,10784,"BA",14
"SAO MIGUEL DAS MATAS",2,0,2,0,0,2,2,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,2,2,2,0,12092,"BA",14
"SATIRO DIAS",3,0,6,0,0,3,3,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,3,2,2,0,20429,"BA",14
"SENHOR DO BONFIM",2,0,2,0,0,2,2,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,2,2,2,0,81218,"BA",14
"TAIPAS DO TOCANTINS",1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,2130,"TO",14
"TAUBATE",0,7,20,6,13,0,0,0,11,6,8,0,15,0,0,0,1,4,4,0,0,13,0,10,0,0,18,307953,"SP",14
"TEOFILANDIA",1,0,2,0,0,1,1,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,1,2,2,0,23378,"BA",14
"TEOLANDIA",1,0,2,0,0,1,1,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,1,2,2,0,15357,"BA",14
"TERRA ROXA",0,1,5,2,5,0,1,0,5,2,5,0,5,0,0,0,0,1,1,0,0,5,0,4,0,0,5,9227,"SP",14
"TREMEDAL",2,0,4,0,0,2,2,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,2,2,2,0,17700,"BA",14
"UBATA",2,0,1,0,0,2,2,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,2,1,1,0,27527,"BA",14
"UIRAPURU",4,0,4,0,0,4,2,4,0,0,0,0,0,4,4,4,0,4,4,4,4,0,2,0,0,4,0,2961,"GO",14
"URUCUCA",4,0,5,0,0,4,4,4,0,0,0,4,0,4,4,4,0,3,0,0,0,0,4,4,3,4,0,21711,"BA",14
"VARZEA DA ROCA",3,0,6,0,0,3,3,5,0,0,0,5,0,5,5,5,0,4,0,0,0,0,5,3,5,5,0,14662,"BA",14
"VITORIA BRASIL",0,3,5,3,6,0,0,0,4,3,5,0,5,1,0,0,0,3,3,0,0,6,0,6,0,0,6,1833,"SP",14
"WAGNER",1,0,2,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,9753,"BA",14
"WENCESLAU GUIMARAES",3,0,4,0,0,3,3,5,0,0,0,5,0,5,5,5,0,4,0,0,0,0,5,3,5,5,0,22365,"BA",14
"ALAMBARI",0,2,2,2,2,0,0,0,2,2,2,0,2,0,0,0,0,1,1,0,0,2,0,2,0,0,2,5754,"SP",13
"ALFREDO MARCONDES",0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,4135,"SP",13
"ARACI",1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,55935,"BA",13
"BARAO DE ANTONINA",0,3,5,3,5,0,0,0,3,3,4,0,5,0,0,0,0,2,2,0,0,5,0,4,0,0,5,3406,"SP",13
"BOM SUCESSO DE ITARARE",0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,3888,"SP",13
"CASSIA DOS COQUEIROS",0,2,6,2,3,0,0,0,4,2,3,0,3,0,0,0,0,2,3,0,0,3,0,3,0,0,3,2591,"SP",13
"CORUMBA",0,2,2,2,2,0,0,0,2,3,3,0,3,0,0,0,2,0,1,0,0,2,0,2,0,0,2,109899,"MS",13
"COTIA",0,1,1,1,1,0,0,0,2,1,2,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,237750,"SP",13
"DOURADO",0,2,5,2,4,0,0,0,2,2,2,0,4,4,0,4,0,0,0,0,0,4,0,4,0,0,4,8909,"SP",13
"GUAREI",0,5,5,3,4,0,0,0,3,5,3,0,4,0,0,0,0,4,4,0,0,4,0,4,0,0,4,17551,"SP",13
"GUARUJA",0,1,5,1,3,0,0,0,1,1,1,0,3,0,0,0,0,2,2,0,0,3,0,3,0,0,3,315563,"SP",13
"IACRI",3,0,4,0,0,3,3,1,0,0,0,0,0,2,2,3,0,4,0,3,3,0,3,2,0,0,0,6434,"SP",13
"IBATE",0,4,4,4,2,0,0,0,4,4,2,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,4,34226,"SP",13
"IMBITUBA",1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,44076,"SC",13
"INDAIATUBA",0,4,3,3,3,0,0,0,4,4,3,0,3,0,0,0,3,0,3,0,0,3,0,4,0,0,3,239602,"SP",13
"ITAPIRAPUA PAULISTA",2,0,8,0,0,4,2,3,0,0,0,0,0,3,2,2,0,4,0,3,4,0,3,8,0,0,0,4186,"SP",13
"JAGUARIAIVA",1,6,5,5,5,0,0,0,5,5,0,0,1,0,0,1,6,6,0,0,1,0,0,6,0,0,0,34822,"PR",13
"JUSSARA",1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,16006,"BA",13
"MACEDONIA",0,5,8,5,9,0,0,0,7,4,7,0,9,0,0,0,0,3,3,0,0,10,0,8,0,0,9,3736,"SP",13
"MATAO",0,0,3,0,0,0,0,1,3,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,82307,"SP",13
"MUCUGE",0,2,2,2,2,0,0,0,2,2,2,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,2,9957,"BA",13
"NAZARE PAULISTA",0,2,4,2,5,0,0,0,4,2,4,0,5,0,0,0,0,5,5,0,0,5,0,5,0,0,5,18121,"SP",13
"OLIVEIRA",3,2,2,0,0,2,2,3,0,0,0,0,0,1,0,0,0,2,1,0,2,3,0,3,0,1,0,41907,"MG",13
"ONDA VERDE",0,2,5,2,5,0,0,0,4,2,5,0,5,0,0,0,0,1,1,0,0,5,0,5,0,0,5,4286,"SP",13
"PALMARES PAULISTA",0,2,6,2,7,0,0,0,5,2,5,0,7,0,0,0,0,1,1,0,0,7,0,7,0,0,7,12730,"SP",13
"PAULISTANA",4,0,0,0,0,4,0,4,0,0,0,0,0,4,4,4,4,0,4,4,8,2,4,4,0,0,0,20192,"PI",13
"PIEDADE",0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,55092,"SP",13
"PONTALINDA",0,2,6,2,6,0,0,0,6,2,6,0,6,0,0,0,0,3,3,0,0,6,0,6,0,0,6,4519,"SP",13
"PORTO LUCENA",1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,5227,"RS",13
"PRESIDENTE EPITACIO",1,0,9,0,0,1,4,3,0,0,0,0,0,2,2,2,0,5,0,3,3,0,4,6,0,0,0,43897,"SP",13
"QUADRA",0,2,3,2,2,0,0,0,3,2,3,0,3,0,0,0,0,1,1,0,0,2,0,2,0,0,3,3680,"SP",13
"RIBEIRA",1,0,9,0,0,1,1,1,0,0,0,0,0,1,1,1,0,3,0,1,1,0,1,7,0,0,0,3390,"SP",13
"RIVERSUL",0,4,5,4,4,0,0,0,6,4,6,0,5,0,0,0,0,2,2,0,0,4,0,5,0,0,4,5792,"SP",13
"RUBIATABA",5,0,5,0,0,4,4,4,0,0,0,0,0,4,4,4,0,0,4,4,3,0,4,0,0,4,0,19994,"GO",13
"SANTA CRUZ DO RIO PARDO",0,7,2,7,2,0,0,0,2,2,2,0,2,0,0,0,2,0,2,0,0,2,0,2,0,0,2,47148,"SP",13
"SANTA MERCEDES",4,0,4,0,0,2,3,4,0,0,0,0,0,1,4,2,0,3,0,3,3,0,3,4,0,0,0,2945,"SP",13
"SAO FRANCISCO",0,1,4,3,6,0,0,0,5,2,5,0,6,0,0,0,0,2,2,0,0,3,0,3,0,0,6,3363,"PB",13
"SAO LUIS DO PARAITINGA",0,3,12,3,10,0,0,0,9,3,9,0,10,0,0,0,0,6,6,0,0,10,0,10,0,0,10,10740,"SP",13
"SEVERINIA",5,0,0,0,0,0,3,4,0,0,0,0,0,4,4,6,0,7,7,4,4,0,4,4,0,1,0,17115,"SP",13
"TORRINHA",0,4,7,4,9,0,0,0,7,4,6,0,10,0,0,0,0,8,6,0,0,8,0,8,0,0,9,9934,"SP",13
"TREMEMBE",0,2,5,2,4,0,0,0,5,2,5,0,4,0,0,0,2,1,1,0,0,4,0,0,0,0,4,45904,"SP",13
"TRES FRONTEIRAS",0,3,6,3,5,0,0,0,3,3,3,0,5,0,0,0,0,1,1,0,0,5,0,5,0,0,5,5767,"SP",13
"UBIRAJARA",0,1,2,1,3,0,0,0,3,1,3,0,3,0,0,0,0,2,2,0,0,3,0,2,0,0,3,4734,"SP",13
"AGUAS DA PRATA",0,4,7,4,7,0,1,0,7,4,6,0,7,0,0,0,0,0,0,0,0,7,0,9,0,0,7,8104,"SP",12
"ARARUAMA",0,4,4,4,4,0,0,0,4,4,4,0,4,0,0,0,4,0,0,0,0,4,0,4,0,0,4,126742,"RJ",12
"ARTUR NOGUEIRA",2,14,15,15,14,0,1,0,15,15,0,0,0,1,0,0,0,0,0,0,0,14,0,15,0,0,14,51986,"SP",12
"AVAI",0,2,9,2,12,0,0,0,10,2,10,0,11,0,0,0,0,0,4,0,0,4,0,3,0,0,12,5337,"SP",12
"BARRA DO CHAPEU",2,0,2,0,0,2,1,2,0,0,0,0,0,0,3,1,0,1,0,1,2,0,2,2,0,0,0,5653,"SP",12
"CABO FRIO",0,4,4,4,4,0,0,0,4,4,4,0,4,0,0,0,4,0,0,0,0,4,0,4,0,0,4,216030,"RJ",12
"CANUDOS",0,1,4,0,0,0,0,2,0,0,0,2,0,2,2,2,0,2,0,0,0,0,1,1,2,2,0,17316,"BA",12
"CARDOSO",0,2,2,2,2,0,0,0,2,2,2,0,2,0,0,0,1,0,0,0,0,2,0,2,0,0,2,12328,"SP",12
"CASEIROS",1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,3185,"RS",12
"COSTA RICA",3,3,9,9,1,0,0,0,3,3,3,0,0,0,0,0,1,0,0,1,3,0,0,4,0,0,0,20159,"MS",12
"FLORIDA PAULISTA",4,0,12,0,0,4,3,6,0,0,0,0,0,4,7,4,0,3,0,6,6,0,6,0,0,0,0,14282,"SP",12
