"ibgeCode",">2ppb","=2ppb","1ppb<x<2ppb","=1ppb","0.1ppb<x<1ppb","=0.1ppb","0ppb<x<0.1ppb","=0ppb","all Detections","all Measurements","Population","UF","name"
290950,0,1,0,0,0,0,0,0,1,1,5576,"BA","Cravolândia"
290960,0,1,0,0,0,0,0,0,1,1,21835,"BA","Crisópolis"
290970,0,1,0,0,0,0,0,0,1,1,14403,"BA","Cristópolis"
291000,0,1,0,0,0,0,0,0,1,1,11716,"BA","Dário Meira"
291005,0,1,0,0,0,0,0,0,1,1,80657,"BA","Dias d'Ávila"
291030,0,1,0,0,0,0,0,0,1,1,8461,"BA","Elísio Medrado"
291040,0,1,0,0,0,0,0,0,1,1,19376,"BA","Encruzilhada"
291050,0,1,0,0,0,0,0,0,1,1,43223,"BA","Entre Rios"
291060,0,1,0,0,0,0,0,0,1,1,37845,"BA","Esplanada"
291070,0,1,0,0,0,0,0,0,1,1,61924,"BA","Euclides da Cunha"
291072,0,1,0,0,0,0,0,0,1,1,115290,"BA","Eunápolis"
291075,0,1,0,0,0,0,0,0,1,1,18443,"BA","Fátima"
291080,0,1,0,0,0,0,0,0,1,1,627477,"BA","Feira de Santana"
291100,0,1,0,0,0,0,0,0,1,1,11244,"BA","Floresta Azul"
291110,0,1,0,0,0,0,0,0,1,1,25912,"BA","Formosa do Rio Preto"
291120,0,1,0,0,0,0,0,0,1,1,33234,"BA","Gandu"
291125,0,1,0,0,0,0,0,0,1,1,4725,"BA","Gavião"
291130,0,1,0,0,0,0,0,0,1,1,11639,"BA","Gentio do Ouro"
291140,0,1,0,0,0,0,0,0,1,1,15840,"BA","Glória"
291150,0,1,0,0,0,0,0,0,1,1,7848,"BA","Gongogi"
291165,0,1,0,0,0,0,0,0,1,1,8081,"BA","Guajeru"
291180,0,1,0,0,0,0,0,0,1,1,22154,"BA","Guaratinga"
291190,0,1,0,0,0,0,0,0,1,1,25884,"BA","Iaçu"
291220,0,1,0,0,0,0,0,0,1,1,19786,"BA","Ibicoara"
291230,0,1,0,0,0,0,0,0,1,1,16796,"BA","Ibicuí"
291240,0,1,0,0,0,0,0,0,1,1,18678,"BA","Ibipeba"
291270,0,1,0,0,0,0,0,0,1,1,24293,"BA","Ibirapitanga"
291280,0,1,0,0,0,0,0,0,1,1,8852,"BA","Ibirapuã"
291290,0,1,0,0,0,0,0,0,1,1,17221,"BA","Ibirataia"
291300,0,1,0,0,0,0,0,0,1,1,16855,"BA","Ibitiara"
291310,0,1,0,0,0,0,0,0,1,1,17948,"BA","Ibititá"
291320,0,1,0,0,0,0,0,0,1,1,27862,"BA","Ibotirama"
291345,0,1,0,0,0,0,0,0,1,1,14187,"BA","Igrapiúna"
291350,0,1,0,0,0,0,0,0,1,1,27939,"BA","Iguaí"
291360,0,1,0,0,0,0,0,0,1,1,176341,"BA","Ilhéus"
